Columns: ['Shop ID', 'Amount', 'Currency', '备注']
Shape: (248, 4)

  Shop ID  Amount Currency                     备注
   469776     432      HKD            大膠袋*8, 紙袋*1
   603700     292      HKD           大膠袋*4, 小膠袋*8
   405609     200      HKD                   紙袋*1
   448595     380      HKD     單杯無紡布袋*1, 3號無紡布袋*1
   471460    1352      HKD        大膠袋*8, 4號無紡布袋*4
   461721     102      HKD           大膠袋*2, 小膠袋*2
   495025     200      HKD                   紙袋*1
   452275     200      HKD                   紙袋*1
   468663     200      HKD                   紙袋*1
   474628     400      HKD                   紙袋*2
   462143     200      HKD                   紙袋*1
   475028     632      HKD       小膠袋*16, 4號無紡布袋*1
   463218     433      HKD 大膠袋*3, 小膠袋*3, 4號無紡布袋*1
721523302     400      HKD                   紙袋*2
   581941      88      HKD                  小膠袋*4
   468128      58      HKD                  大膠袋*2
   485142     490      HKD           大膠袋*10, 紙袋*1
   452355      58      HKD                  大膠袋*2
721493294     200      HKD                   紙袋*1
   450671     600      HKD                   紙袋*3
   793439     600      HKD                   紙袋*3
   478523     600      HKD                   紙袋*3
   606082     800      HKD                   紙袋*4
   392452     800      HKD                   紙袋*4
   448618     400      HKD                   紙袋*2
   463442     400      HKD                   紙袋*2
   570009     600      HKD                   紙袋*3
   467136    1200      HKD                   紙袋*6
   571619     400      HKD                   紙袋*2
   483571     800      HKD                   紙袋*4

--- Full data ---
  Shop ID  Amount Currency                        备注
   469776     432      HKD               大膠袋*8, 紙袋*1
   603700     292      HKD              大膠袋*4, 小膠袋*8
   405609     200      HKD                      紙袋*1
   448595     380      HKD        單杯無紡布袋*1, 3號無紡布袋*1
   471460    1352      HKD           大膠袋*8, 4號無紡布袋*4
   461721     102      HKD              大膠袋*2, 小膠袋*2
   495025     200      HKD                      紙袋*1
   452275     200      HKD                      紙袋*1
   468663     200      HKD                      紙袋*1
   474628     400      HKD                      紙袋*2
   462143     200      HKD                      紙袋*1
   475028     632      HKD          小膠袋*16, 4號無紡布袋*1
   463218     433      HKD    大膠袋*3, 小膠袋*3, 4號無紡布袋*1
721523302     400      HKD                      紙袋*2
   581941      88      HKD                     小膠袋*4
   468128      58      HKD                     大膠袋*2
   485142     490      HKD              大膠袋*10, 紙袋*1
   452355      58      HKD                     大膠袋*2
721493294     200      HKD                      紙袋*1
   450671     600      HKD                      紙袋*3
   793439     600      HKD                      紙袋*3
   478523     600      HKD                      紙袋*3
   606082     800      HKD                      紙袋*4
   392452     800      HKD                      紙袋*4
   448618     400      HKD                      紙袋*2
   463442     400      HKD                      紙袋*2
   570009     600      HKD                      紙袋*3
   467136    1200      HKD                      紙袋*6
   571619     400      HKD                      紙袋*2
   483571     800      HKD                      紙袋*4
   458769    1200      HKD                      紙袋*6
   597979     200      HKD                      紙袋*1
   452219     800      HKD                      紙袋*4
   596231     600      HKD                      紙袋*3
   462068     400      HKD                      紙袋*2
   462066     600      HKD                      紙袋*3
   571796     200      HKD                      紙袋*1
   449001    1400      HKD                      紙袋*7
721515372     800      HKD                      紙袋*4
   496744     400      HKD                      紙袋*2
721428320     200      HKD                      紙袋*1
   450300    1000      HKD                      紙袋*5
721526386     600      HKD                      紙袋*3
   455084     280      HKD                  4號無紡布袋*1
   612889     510      HKD        3號無紡布袋*1, 4號無紡布袋*1
   561815     680      HKD            4號無紡布袋*1, 紙袋*2
   606103     230      HKD                  3號無紡布袋*1
   573236     200      HKD                      紙袋*1
   576504     200      HKD                      紙袋*1
721527372     200      HKD                      紙袋*1
   491731     200      HKD                      紙袋*1
   389158     800      HKD                      紙袋*4
   392451     400      HKD                      紙袋*2
   450079     539      HKD 大膠袋*1, 3號無紡布袋*1, 4號無紡布袋*1
   451667    1400      HKD                      紙袋*7
   455280     600      HKD                      紙袋*3
   458732     400      HKD                      紙袋*2
   459972     410      HKD        雙杯無紡布袋*1, 3號無紡布袋*1
   461863     230      HKD                  3號無紡布袋*1
   462151     200      HKD                      紙袋*1
   472045     400      HKD                      紙袋*2
   478032     200      HKD                      紙袋*1
   491445     800      HKD                      紙袋*4
   492627     690      HKD                  3號無紡布袋*3
   560153     400      HKD                      紙袋*2
   561470     400      HKD                      紙袋*2
   675162     400      HKD                      紙袋*2
   678445     800      HKD                      紙袋*4
   750736     280      HKD                  4號無紡布袋*1
721438329     280      HKD                  4號無紡布袋*1
721440323     200      HKD                      紙袋*1
721440356     116      HKD                     大膠袋*4
721484291     430      HKD        單杯無紡布袋*1, 4號無紡布袋*1
721497290     174      HKD                     大膠袋*6
721505289     400      HKD                      紙袋*2
721505293     153      HKD              大膠袋*3, 小膠袋*3
721524318     174      HKD                     大膠袋*6
721530372     230      HKD                  3號無紡布袋*1
721531293     280      HKD                  4號無紡布袋*1
721537377     400      HKD                      紙袋*2
721538392      44      HKD                     小膠袋*2
721421318     150      HKD                  單杯無紡布袋*1
   600404     200      HKD                      紙袋*1
721422314     200      HKD                      紙袋*1
   483105    1530      HKD        3號無紡布袋*3, 4號無紡布袋*3
   580691     400      HKD                      紙袋*2
   577559     200      HKD                      紙袋*1
721516383     244      HKD               小膠袋*2, 紙袋*1
   487873     400      HKD                      紙袋*2
   455383     230      HKD                  3號無紡布袋*1
721528307     200      HKD                      紙袋*1
721444350     116      HKD                     大膠袋*4
   586361     200      HKD                      紙袋*1
   472824     204      HKD              大膠袋*4, 小膠袋*4
   604929     200      HKD                      紙袋*1
   586366     600      HKD             紙袋*1, 紙漿杯2托*2
   451190     230      HKD                  3號無紡布袋*1
   457708     200      HKD                      紙袋*1
   494819     600      HKD                      紙袋*3
   562210     200      HKD                      紙袋*1
   482751     460      HKD                  3號無紡布袋*2
   454917     458      HKD               大膠袋*2, 紙袋*2
   415463    1000      HKD                      紙袋*5
   448374     800      HKD                      紙袋*4
   448902    1200      HKD                      紙袋*6
   449000     400      HKD                      紙袋*2
   449037     480      HKD            4號無紡布袋*1, 紙袋*1
   452187     400      HKD                      紙袋*2
   453571    1200      HKD                      紙袋*6
   453966     800      HKD                      紙袋*4
   455072     145      HKD                     大膠袋*5
   455432    1400      HKD                      紙袋*7
   456460     560      HKD                  4號無紡布袋*2
   457230     400      HKD                      紙袋*2
   458879     600      HKD                      紙袋*3
   458881     600      HKD                      紙袋*3
   460123      58      HKD                     大膠袋*2
   460470     800      HKD                      紙袋*4
   461923    1000      HKD                      紙袋*5
   461954     600      HKD                      紙袋*3
   462094     800      HKD                      紙袋*4
   465331     400      HKD                      紙袋*2
   465352     600      HKD                      紙袋*3
   465489    1200      HKD                      紙袋*6
   468474    1600      HKD                      紙袋*8
   468475     400      HKD                      紙袋*2
   468594    1000      HKD                      紙袋*5
   468596    1000      HKD                      紙袋*5
   468698     800      HKD                      紙袋*4
   471760     400      HKD                      紙袋*2
   471844     400      HKD                      紙袋*2
   471908     800      HKD                      紙袋*4
   472990     200      HKD                      紙袋*1
   475183     600      HKD                      紙袋*3
   475184     400      HKD                      紙袋*2
   477024     400      HKD                      紙袋*2
   478121     200      HKD                      紙袋*1
   478374     400      HKD                      紙袋*2
   478525     600      HKD                      紙袋*3
   481376     200      HKD                      紙袋*1
   481858     800      HKD                      紙袋*4
   483032     545      HKD               大膠袋*5, 紙袋*2
   484653     400      HKD                      紙袋*2
   484763     460      HKD                  3號無紡布袋*2
   484912    1200      HKD                      紙袋*6
   486334     280      HKD                  4號無紡布袋*1
   488332     800      HKD                      紙袋*4
   488372     400      HKD                      紙袋*2
   488425    1000      HKD                      紙袋*5
   488502     200      HKD                      紙袋*1
   489582     280      HKD                  4號無紡布袋*1
   491487    2000      HKD                     紙袋*10
   491527     400      HKD                      紙袋*2
   491642     400      HKD                      紙袋*2
   491674    1200      HKD                      紙袋*6
   491816     200      HKD                      紙袋*1
   494396     200      HKD                      紙袋*1
   495013     102      HKD              大膠袋*2, 小膠袋*2
   562212     230      HKD                  3號無紡布袋*1
   566661     400      HKD                      紙袋*2
   566697     400      HKD                      紙袋*2
   570010     600      HKD                      紙袋*3
   570011    2000      HKD                     紙袋*10
   571646     280      HKD                  4號無紡布袋*1
   573224     400      HKD                      紙袋*2
   573274     180      HKD                  雙杯無紡布袋*1
   574947    1000      HKD                      紙袋*5
   576506     403      HKD               大膠袋*7, 紙袋*1
   576565     600      HKD                      紙袋*3
   576566    2800      HKD                     紙袋*14
   578205     400      HKD                      紙袋*2
   580975     176      HKD                     小膠袋*8
   583154     400      HKD                      紙袋*2
   590530     800      HKD                      紙袋*4
   591838     400      HKD                      紙袋*2
   594352     116      HKD                     大膠袋*4
   595164     510      HKD        3號無紡布袋*1, 4號無紡布袋*1
   596292     400      HKD                      紙袋*2
   597327     180      HKD                  雙杯無紡布袋*1
   597965     460      HKD        雙杯無紡布袋*1, 4號無紡布袋*1
   599598     400      HKD                      紙袋*2
   602807    1020      HKD        3號無紡布袋*2, 4號無紡布袋*2
   606154    1000      HKD                      紙袋*5
   607799     400      HKD                      紙袋*2
   609395     200      HKD                      紙袋*1
   614502      58      HKD                     大膠袋*2
   698175    1000      HKD                      紙袋*5
   714605     800      HKD                      紙袋*4
   727747     460      HKD                  3號無紡布袋*2
   767184     400      HKD                      紙袋*2
721424347     200      HKD                      紙袋*1
721429404     200      HKD                      紙袋*1
721432386     180      HKD                  雙杯無紡布袋*1
721434295     230      HKD                  3號無紡布袋*1
721441303     280      HKD                  4號無紡布袋*1
721442321     400      HKD                      紙袋*2
721444351     560      HKD                  4號無紡布袋*2
721445301     760      HKD         雙杯無紡布袋*2, 紙漿杯2托*2
721446352    1000      HKD                      紙袋*5
721448338     100      HKD                  飲品封口紙*10
721512368     400      HKD                      紙袋*2
721512371     400      HKD                      紙袋*2
721515368     400      HKD                      紙袋*2
721515369     200      HKD                      紙袋*1
721515370     200      HKD                      紙袋*1
721524372     300      HKD                  單杯無紡布袋*2
721525377     400      HKD                      紙袋*2
721525384     400      HKD                      紙袋*2
721525385     800      HKD                      紙袋*4
721527369     600      HKD                      紙袋*3
721528368     280      HKD                  4號無紡布袋*1
721531310    1200      HKD        3號無紡布袋*4, 4號無紡布袋*1
721532292     800      HKD                      紙袋*4
721532321     400      HKD                      紙袋*2
721532396     400      HKD                      紙袋*2
721533379     200      HKD                      紙袋*1
721536377     200      HKD                      紙袋*1
721542311     146      HKD              大膠袋*2, 小膠袋*4
721542340     280      HKD                  4號無紡布袋*1
   472859      88      HKD                     小膠袋*4
   465000     200      HKD                      紙袋*1
721486291     280      HKD                  4號無紡布袋*1
   478625     244      HKD               小膠袋*2, 紙袋*1
   586368     200      HKD                      紙袋*1
721430385     102      HKD              大膠袋*2, 小膠袋*2
   461545     174      HKD                     大膠袋*6
   451899     200      HKD                      紙袋*1
   455430    1000      HKD                      紙袋*5
   458248     600      HKD                      紙袋*3
   468108     800      HKD                      紙袋*4
   471761     400      HKD                      紙袋*2
   474936     600      HKD                      紙袋*3
   475056     400      HKD                      紙袋*2
   475343    2000      HKD                     紙袋*10
   485244     800      HKD                      紙袋*4
   486880      88      HKD                     小膠袋*4
   488208     800      HKD                      紙袋*4
   489523     866      HKD               小膠袋*3, 紙袋*4
   491491     800      HKD                      紙袋*4
   491643     600      HKD                      紙袋*3
   599518     400      HKD                      紙袋*2
   607265     230      HKD                  3號無紡布袋*1
   819738     200      HKD                      紙袋*1
721426405     259      HKD           大膠袋*1, 3號無紡布袋*1
721444371     410      HKD        雙杯無紡布袋*1, 3號無紡布袋*1
721515371     200      HKD                      紙袋*1
721515373     400      HKD                      紙袋*2
721526348     200      HKD                      紙袋*1
