Sheet: Sheet2
Rows: 345, Cols: 18

Row 1: ['A=提交日期', 'B=商家ID', 'C=商家名稱', 'D=收貨電話', 'E=收貨地址', 'F=大膠袋', 'G=小膠袋', 'H=單杯無紡布袋', 'I=雙杯無紡布袋', 'J=3號無紡布袋', 'K=4號無紡布袋', 'L=紙袋', 'M=紙漿杯2托', 'N=紙漿杯托-4托', 'O=飲品封口紙', 'P=雙杯裝紙袋', 'Q=單杯裝紙袋', 'R=調賬費用']
Row 2: ['A=2026-07-02 00:00:00', 'B=721155', 'C=WestwoodCarvery', 'D=852-28698111', 'E=蘭桂坊和安里2號地舖', 'F=0', 'G=0', 'H=0', 'I=0', 'J=0', 'K=0', 'L=1', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=200']
Row 3: ['A=2026-07-02 00:00:00', 'B=494704', 'C=快樂蜂(荃灣88)Jollibee(Plaza88)', 'D=852-26771411', 'E=荃灣楊屋道88號荃灣88 1樓17A號舖', 'F=0', 'G=0', 'H=0', 'I=0', 'J=0', 'K=1', 'L=1', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=480']
Row 4: ['A=2026-07-02 00:00:00', 'B=603700', 'C=ThePastaShack(Wanchai)', 'D=852-23252725', 'E=汕頭街4號廣泰樓地下B2A號舖', 'F=3', 'G=6', 'H=0', 'I=0', 'J=0', 'K=0', 'L=0', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=219']
Row 5: ['A=2026-07-02 00:00:00', 'B=469776', 'C=SeoulNoodles中環分店(士丹利街)首爾製麵所', 'D=852-51989798', 'E=士丹利街38號金禾大廈1樓', 'F=3', 'G=0', 'H=0', 'I=0', 'J=0', 'K=0', 'L=0', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=87']
Row 6: ['A=2026-07-02 00:00:00', 'B=469776', 'C=SeoulNoodles中環分店(士丹利街)首爾製麵所', 'D=852-51989798', 'E=士丹利街38號金禾大廈1樓', 'F=8', 'G=0', 'H=0', 'I=0', 'J=0', 'K=1', 'L=0', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=512']
Row 7: ['A=2026-07-02 00:00:00', 'B=721516382', 'C=MINYOUNG', 'D=852-56475009', 'E=SHOP B (PORTION) OF 24-49 ON PORTION OF G/F OF THE PODIUM OF BLOCK 1,CITY GARDEN, NO.233 ELECTRIC ROAD, NORTH POINT, HONG KONG', 'F=0', 'G=0', 'H=0', 'I=0', 'J=1', 'K=0', 'L=0', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=230']
Row 8: ['A=2026-07-02 00:00:00', 'B=721527353', 'C=Puradak SYP', 'D=852-59666202', 'E=上環德輔道西103號樂基商業中心1樓Kitchen 5', 'F=0', 'G=0', 'H=0', 'I=0', 'J=0', 'K=0', 'L=2', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=400']
Row 9: ['A=2026-07-02 00:00:00', 'B=581941', 'C=小寶車仔麵', 'D=852-67032252', 'E=新界西貢將軍澳毓雅里7號富麗花園地下6號舖', 'F=3', 'G=3', 'H=0', 'I=0', 'J=0', 'K=0', 'L=0', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=153']
Row 10: ['A=2026-07-02 00:00:00', 'B=487838', 'C=快樂蜂(亞皆老街)Jollibee(ArgyleStreet)', 'D=852-26023522', 'E=旺角亞皆老街16號旺角商業大廈1樓', 'F=2', 'G=2', 'H=0', 'I=0', 'J=0', 'K=0', 'L=1', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=302']
Row 11: ['A=2026-07-02 00:00:00', 'B=482751', 'C=PokeHeartBuildyourownBowl超人氣波奇碗', 'D=852-59268562', 'E=中環結志街45號新中環大廈地下G鋪', 'F=0', 'G=0', 'H=0', 'I=0', 'J=0', 'K=0', 'L=2', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=400']
Row 12: ['A=2026-07-02 00:00:00', 'B=485145', 'C=PretAManger(Cityplaza太古城)', 'D=852-28575301', 'E=太古太古城道18號太古城中心5樓503號舖', 'F=0', 'G=0', 'H=0', 'I=0', 'J=0', 'K=0', 'L=1', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=200']
Row 13: ['A=2026-07-02 00:00:00', 'B=399024', 'C=RotiKingIndianFusionCuisine', 'D=852-24143030', 'E=香港大角咀杉樹街4-16號金基大廈地下4號', 'F=0', 'G=0', 'H=0', 'I=0', 'J=1', 'K=0', 'L=0', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=230']
Row 14: ['A=2026-07-02 00:00:00', 'B=448595', 'C=ChilliLime(MONTEREYPlace)', 'D=852-22460055', 'E=將軍澳澳南海岸唐俊街23號MONTEREY Place地下G07號舖', 'F=0', 'G=0', 'H=0', 'I=1', 'J=0', 'K=1', 'L=0', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=460']
