是否提報,創建時間,shopid,门店名称,BD名稱,提報物料,物料數量,備注,物流訂單號,提報方式,最後編輯時間2,最后编辑人
,46198,721514336,sensory ZERO Oplympian City Plase 3,@黎漢樑(Kenneth),高端纸袋（黑色普通）,1,,,,46198.4868055556,@田松乔(Simon)
,46198,721514336,sensory ZERO Oplympian City Plase 3,@黎漢樑(Kenneth),兩格杯托,1,,,,46198.4868055556,@田松乔(Simon)
,46198,721524339,lulu BAOBAO Wong Chuk Hang,@黎漢樑(Kenneth),高端保溫袋,1,,,,46198.4868055556,@田松乔(Simon)
,46198,721524339,lulu BAOBAO Wong Chuk Hang,@黎漢樑(Kenneth),高端纸袋（黑色普通）,1,,,,46198.4868055556,@田松乔(Simon)
,46198,721524339,lulu BAOBAO Wong Chuk Hang,@黎漢樑(Kenneth),兩格杯托,2,,,,46198.4868055556,@田松乔(Simon)
,46198,721430348,Agnes b Langham Place,@黎漢樑(Kenneth),高端保溫袋,1,,,,46198.4868055556,@田松乔(Simon)
,46198,691592,潮廳,@黎漢樑(Kenneth),高端保溫袋,2,,,,46198.4868055556,@田松乔(Simon)
,46198,602886,牧羊少年咖啡館 (Fashion Walk),@黎漢樑(Kenneth),高端保溫袋,2,,,,46198.4868055556,@田松乔(Simon)
,46198,721426361,Agnes b Times Square,@黎漢樑(Kenneth),高端保溫袋,1,,,,46198.4868055556,@田松乔(Simon)
,46198,721426361,Agnes b Times Square,@黎漢樑(Kenneth),高端纸袋（黑色普通）,1,,,,46198.4868055556,@田松乔(Simon)
,46198,721523340,sensory ZERO Taikoo Cityplaza,@黎漢樑(Kenneth),四格杯托,1,,,,46198.4868055556,@田松乔(Simon)
,46198,721520338,sensory ZERO Pak Shek Kok,@黎漢樑(Kenneth),兩格杯托,1,,,,46198.4868055556,@田松乔(Simon)
,46198,721520338,sensory ZERO Pak Shek Kok,@黎漢樑(Kenneth),四格杯托,1,,,,46198.4868055556,@田松乔(Simon)
,46198,721520338,sensory ZERO Pak Shek Kok,@黎漢樑(Kenneth),高端纸袋（黑色普通）,2,,,,46198.4868055556,@田松乔(Simon)
,46198,721516338,BLA BLA by sensory ZERO (Telford Plaza II),@黎漢樑(Kenneth),四格杯托,1,,,,46198.4868055556,@田松乔(Simon)
